gene_name	rep	condition	total	sup	pel
ENSG00000128311.13	1	1	132	960	333
ENSG00000128573.24	1	1	260	185	91
ENSG00000128609.14	1	1	7569.01	769	754
ENSG00000129158.10	1	1	754.81	1666	784
ENSG00000130005.12	1	1	147	806	328
ENSG00000130413.15	1	1	1823	715	1505
ENSG00000130414.11	1	1	8493	20165	11354
ENSG00000130520.10	1	1	2919	9807	2758
ENSG00000130544.11	1	1	1500	1592	917
ENSG00000130649.9	1	1	25	45	244
ENSG00000130830.14	1	1	147	262	224
ENSG00000130881.13	1	1	6	123.66	317.37
ENSG00000131069.19	1	1	140	345	332
ENSG00000131462.7	1	1	1484.88	14405.71	6572.11
ENSG00000131503.20	1	1	8850.79	12690.06	7687.58
ENSG00000131979.18	1	1	3981	2511	812
ENSG00000132141.13	1	1	180	46	49
ENSG00000132432.13	1	1	4208	2915	797
ENSG00000132950.18	1	1	1927	654	444
ENSG00000132952.11	1	1	4316	2765	2966
ENSG00000133030.20	1	1	4830.85	10508.91	10308.77
ENSG00000133138.19	1	1	817	252	209
ENSG00000133606.10	1	1	7468	9037	2790
ENSG00000133805.15	1	1	3113	5299	5468
ENSG00000133818.13	1	1	7565.36	2201.55	875.59
ENSG00000134001.12	1	1	14386	5447	2025
ENSG00000134108.12	1	1	6538	4797	1654
ENSG00000134375.10	1	1	8589	4618	1633
ENSG00000134516.16	1	1	27948	53179	27523
ENSG00000134775.15	1	1	3295	6275	3744
ENSG00000135046.13	1	1	2398	1224	514
ENSG00000135211.5	1	1	1718	790	336
ENSG00000135437.9	1	1	127.12	325.97	408.84
ENSG00000135486.17	1	1	60764.7	62920.42	22276.68
ENSG00000135525.18	1	1	11	19	9
ENSG00000135617.3	1	1	193	812	213
ENSG00000135763.9	1	1	1845	5145	1813
ENSG00000136051.14	1	1	14941	4562	4691
ENSG00000136448.11	1	1	6507	17747	8673
ENSG00000137101.12	1	1	145	182	582
ENSG00000137185.12	1	1	2008	2189	1520
ENSG00000137767.13	1	1	5443	6727.23	1525
ENSG00000137818.11	1	1	11588.55	91671.12	23288.96
ENSG00000138764.14	1	1	9432	3527	3238
ENSG00000138794.9	1	1	2239	2002	315
ENSG00000139269.2	1	1	204	491	88
ENSG00000139410.14	1	1	33	220	58
ENSG00000140153.17	1	1	1490	1893	1110
ENSG00000140525.17	1	1	14390	12306	11827
ENSG00000140612.13	1	1	8697	3420	1053
ENSG00000141012.12	1	1	120	290	708
ENSG00000141086.17	1	1	20.78	192	479.6
ENSG00000141380.13	1	1	14038	14121	8463
ENSG00000141867.17	1	1	520	1966	5113
ENSG00000142347.17	1	1	179	831	450
ENSG00000143110.11	1	1	115	84	263
ENSG00000143318.12	1	1	53	36	167
ENSG00000143412.9	1	1	26	67	21
ENSG00000143603.18	1	1	4589	6533	3036
ENSG00000144026.11	1	1	975	428	1589.28
ENSG00000144036.15	1	1	536	565	402
ENSG00000144485.10	1	1	18	83	110
ENSG00000145012.13	1	1	30	21	34
ENSG00000145526.11	1	1	19	18	17
ENSG00000146112.11	1	1	5280	15428	6264
ENSG00000146247.13	1	1	9741	4339	11267
ENSG00000146670.9	1	1	3087	9751	2840
ENSG00000147394.18	1	1	204	235	133
ENSG00000147443.12	1	1	427	1908	1345
ENSG00000147894.15	1	1	1779	465	1351
ENSG00000148331.11	1	1	403	1766	1581
ENSG00000148688.13	1	1	2723	1954	1222
ENSG00000148841.16	1	1	528	2544	1022
ENSG00000149115.13	1	1	202	751	1120
ENSG00000149136.8	1	1	14437	39181	11190
ENSG00000149646.12	1	1	105	177	116
ENSG00000149970.15	1	1	102	80	119
ENSG00000151500.14	1	1	2395	2912	1905
