gene_name	rep	condition	total	sup	pel
ENSG00000007392.16	1	1	4433	3085	12876
ENSG00000007520.3	1	1	546	2614	848
ENSG00000007541.16	1	1	136	1278	3661.69
ENSG00000007545.15	1	1	847.53	2367.94	2593.75
ENSG00000007923.15	1	1	1650	5734	6416
ENSG00000007944.14	1	1	11438	11087	10274
ENSG00000007968.6	1	1	367	1845	876
ENSG00000008018.8	1	1	15018	27972	7265
ENSG00000008056.13	1	1	9	54	10
ENSG00000008083.13	1	1	4067	8330	7687
ENSG00000008086.11	1	1	796	809	520
ENSG00000008128.22	1	1	114.6	641.89	3616.6
ENSG00000008130.15	1	1	4003	10646	12309.98
ENSG00000008196.12	1	1	30	84	94
ENSG00000008256.15	1	1	2643	5698	6377
ENSG00000008277.14	1	1	9665	3675	14508
ENSG00000008282.8	1	1	11045	7299	1220
ENSG00000008283.15	1	1	116	313	133
ENSG00000008294.20	1	1	8541	6159	6010
ENSG00000008300.16	1	1	210	1174	3961
ENSG00000008311.14	1	1	1267	666	3313
ENSG00000008323.15	1	1	96	425	138
ENSG00000008324.11	1	1	5359	2724	789
ENSG00000008382.15	1	1	199	1177	428
ENSG00000008394.12	1	1	4269	4847	767
ENSG00000008405.11	1	1	920	589	570
ENSG00000008441.16	1	1	29	74	91
ENSG00000008513.15	1	1	6550	15447	7541
ENSG00000008517.16	1	1	2612	11036	6590
ENSG00000008710.19	1	1	655	4876.95	29311.52
ENSG00000008838.19	1	1	1705	11487	11211
ENSG00000008853.16	1	1	1628	8523	4880
ENSG00000008869.11	1	1	9623	9947	9050
ENSG00000008952.16	1	1	7473	2710	959
ENSG00000008988.9	1	1	54796.29	53727	10937
ENSG00000009307.15	1	1	57582	42493	12497
ENSG00000009335.17	1	1	9662	12840	3447
ENSG00000009413.15	1	1	14306	7034	6874
ENSG00000009694.13	1	1	2796	1667	6832
ENSG00000009780.15	1	1	531	354	182
ENSG00000009790.14	1	1	10099	8806	19258
ENSG00000009830.11	1	1	511	1274	4569
ENSG00000009844.15	1	1	9728	6523	1824
ENSG00000009954.10	1	1	9007	10138	3860
ENSG00000010017.12	1	1	3775	2217	1167
ENSG00000010072.15	1	1	788	856	456
ENSG00000010165.19	1	1	3477	7923	2322
ENSG00000010219.13	1	1	1334	1510	1569
ENSG00000010244.18	1	1	31688.62	41686	31886
ENSG00000010256.10	1	1	7078	37860	19005
ENSG00000010270.13	1	1	10894	7226	3471
ENSG00000010278.13	1	1	1283	1738	478
ENSG00000010292.12	1	1	10916	47094	8089
ENSG00000010295.19	1	1	481	1226	3963
ENSG00000010310.8	1	1	898	1366	7186
ENSG00000010318.20	1	1	448	489	596
ENSG00000010322.15	1	1	2786	10378	42289
ENSG00000010361.13	1	1	237	607	655
ENSG00000010379.15	1	1	73	47	276
ENSG00000010404.17	1	1	14077.51	26387.82	5201.97
ENSG00000010539.11	1	1	850	779	471
ENSG00000010610.9	1	1	29	49	27
ENSG00000010626.14	1	1	235.63	503.66	147.4
ENSG00000010671.15	1	1	6699	8020	4605
ENSG00000010704.18	1	1	557	692	430
ENSG00000010803.16	1	1	2360	4156	13983
ENSG00000010810.17	1	1	18235	25203	14498
ENSG00000010818.9	1	1	5047	10659	7391
ENSG00000011007.12	1	1	3765	4901	2989
ENSG00000011009.10	1	1	967	6232	4630
ENSG00000011021.22	1	1	1707	5346	9329
ENSG00000011028.13	1	1	8	35	200
ENSG00000011052.21	1	1	256.32	2722.83	335.23
ENSG00000011105.13	1	1	95	317	259
ENSG00000011114.14	1	1	4191	4617	2381
ENSG00000011132.11	1	1	331	1809	3246
ENSG00000011143.16	1	1	581	1264	1960
ENSG00000011198.9	1	1	2661	1839	757
ENSG00000011201.11	1	1	954	822	658
ENSG00000011243.17	1	1	1221	2603	13589
ENSG00000011258.15	1	1	4864	1910	2323
ENSG00000011260.13	1	1	5916	2333	1083
ENSG00000011275.18	1	1	3638	7267	7765
ENSG00000011295.15	1	1	771	857	508
ENSG00000011304.19	1	1	3027	16522	32385
ENSG00000011332.19	1	1	20	131	93
ENSG00000011376.10	1	1	3817.92	7448	7377
ENSG00000011405.13	1	1	9741	4312	3669
ENSG00000011422.11	1	1	122	727	389
ENSG00000011426.10	1	1	2886	1824	1881
ENSG00000011451.19	1	1	243	1138	2712
ENSG00000011454.16	1	1	5965.18	5991	4559.95
ENSG00000011478.11	1	1	498	2819	3464
