gene_name	sup_latent	pel_latent	pvalue
1	5.287001378258182	2.0863283875516974	0.0265
2	5.02407488140405	2.778298620922008	0.0275
3	5.516738214634504	3.560381345478307	0.05
4	7.605243620596019	5.5694864100089045	0.013
5	5.132986065094937	2.006805256230152	0.0085
6	4.732485973433132	2.23441984808452	0.0415
7	5.3314226829211995	2.2593334702278653	0.0045
8	2.1911923599644845	-0.058124507234844414	0.057
9	4.873445628205495	1.7134037967617428	0.0045
10	6.428111151125293	3.7817333094358774	0.0025
11	4.793508609588733	2.0354799061656186	0.039
12	3.3013323559996177	1.1983318606640943	0.095
13	6.752696510746318	4.249461368370978	0.014
14	5.85427685276708	1.5791238389830506	0
15	5.635318436079745	2.9707379083514702	0.037
16	4.506525661730265	2.9645059508985496	0.083
17	5.129018134173115	1.8333782318738774	0
18	7.147415206761842	3.577741312018213	0
19	5.788143209857516	2.4359957649733843	5e-4
20	3.206103732133264	1.0271736016251993	0.034
21	1.5791372885371444	0.42382078154417385	0.2365
22	5.37437236251823	2.5050375365768907	0.003
23	7.022324327383924	3.4127291756976597	0
24	6.971539904912588	3.5671728530786986	5e-4
25	7.047254232292971	3.737032382434012	0.002
26	5.876018192475108	2.4134480104987333	0.0015
27	4.7954262625404365	1.718884514986355	0.006
28	4.269554455967606	1.8425598855490182	0.013
29	5.104586549689208	2.70580215830138	0.0165
30	5.247865568437768	2.271587986143736	0.0025
31	7.192644974798615	4.390737681905417	0.002
32	5.3972709622181565	3.092410112992171	0.023
33	7.295248537899504	5.94857961017933	0.0925
34	-0.08382695157151017	-1.1121226987167625	0.375
35	6.943071663647826	3.566278708959437	5e-4
36	4.034726450787421	2.4480821403543502	0.072
37	6.76325730891786	3.2109761210369663	5e-4
38	7.954453324133752	4.3619956473619155	5e-4
39	6.315185937890938	3.75355806481431	0.0085
40	6.354019917952281	3.204228180036414	5e-4
41	6.894881489422822	3.6735078901618614	5e-4
42	6.534551061068809	4.942017167635105	0.076
43	3.1298173557843993	1.4754270770922262	0.064
44	5.927202763494073	2.7098148491308103	0.017
45	4.828615078855442	3.1719432663770277	0.188
46	0.15657680468907798	-0.7565867339607952	0.3685
47	3.0778477505093127	3.1725886381229227	1.1145
48	6.2660357907401725	2.818030330366515	0.0025
49	1.1210355717872444	0.9755908884614072	0.865
50	5.361627900805791	2.6283843186326443	0.0105
51	6.194097459302389	3.211317997551313	0.002
52	6.629933854971764	3.4848758097031665	0.0025
53	5.157035451879272	1.6480192120165995	0.004
54	4.025241912969693	2.211244379883235	0.0445
55	5.829446997678834	4.178887547763403	0.041
56	5.3495942686860385	1.897023045746085	0.0075
57	8.175655830888818	4.153683327161579	0
58	5.781718749750029	2.550161405778604	0.0045
59	5.658414859631355	2.344488894565215	0.001
60	5.932385572801134	2.5436376803094825	0.001
61	4.584783972222544	1.545728603489927	0.003
62	6.153488818836074	3.656691899645689	0.007
63	4.99408147085831	1.8959896042635789	0.0605
64	4.870504592905574	1.9101932568770312	0.012
65	4.378946502366059	2.163844201970522	0.029
66	6.074106921946811	2.596421880967142	5e-4
67	4.642223089946949	3.9895491671220915	0.343
68	4.652627311697203	2.6020077408120446	0.015
69	8.283648550516101	6.504789526806532	0.025
70	5.4215140828600195	2.8628641384729803	0.0045
71	5.093763250122853	4.26776629711768	0.2585
72	2.042804485291409	-0.5420974089487545	0.0315
73	4.763122232764449	2.170205957176928	0.0615
74	6.710371173615258	3.8620509658565054	0.0015
75	4.487889390527115	2.3426703257443435	0.08
76	3.579421375153784	2.300453948153481	0.1905
77	5.931215717392794	3.318861995254573	0.0065
78	5.109537349366686	1.9231630965124553	5e-4
79	6.004400614501645	2.925265433106427	0.0225
80	5.956283314348331	3.5464584824063468	0.0425
81	7.71494237724931	4.691993947734318	0.002
82	5.534303250781736	2.3186422395635002	0.008
83	7.316344335756382	4.41991119919523	0.001
84	4.963688010583995	3.1113135695116987	0.031
85	4.936846953318833	2.791570234674439	0.018
86	6.05843714143563	3.0282325326779933	0.0035
87	6.087448225947318	2.278905296267403	0.001
88	1.9457735883060623	0.033359896912688286	0.1015
89	5.535464678938649	1.8655474133078997	5e-4
90	4.15282768043434	2.687437421539131	0.073
91	4.863042005909788	4.4594261482138995	0.53
92	5.659929225535635	3.0575108155000614	0.001
93	2.2585574113404663	1.8164122226765138	0.569
94	7.764972998776308	4.198900653147225	0
95	5.154139876014284	2.6818162434268644	0.005
96	3.380327308281983	1.105677045322461	0.016
97	5.863047677511959	4.2711202523045655	0.0365
98	0.1784680361146493	-0.23983998575321241	0.6585
99	1.630660352442295	0.38806514699391637	0.162
100	4.702108421247573	2.2149607080869806	0.0115
101	5.219657972815146	1.780956877149263	0.0055
102	6.051756724661402	2.8256248789083984	5e-4
103	3.020618462730617	1.5584615264479649	0.193
104	4.13422467592508	1.800514519641034	0.0275
105	6.664846681857677	3.779703044681791	0.0045
106	2.48045851711336	0.5455505880064064	0.058
107	6.127277834777882	3.5480928341233406	0.035
108	6.430994367894527	3.5158155422083723	0.002
109	5.215372813888868	1.948632038061374	0.013
110	4.912025555348829	2.5980389799749304	0.046
111	5.050470272381464	3.109036935627289	0.1095
112	3.0613519887065186	0.424293991397935	0.03
113	5.5945017576665945	2.19699356029854	0.001
114	2.7919765042762723	0.7489560671676605	0.0425
115	5.806329751987056	2.9393271752969925	0.0035
116	6.041740607042156	4.061241939791136	0.04
