gene_name	condition_A	condition_B	p.value_frac	p.value_total	gene_count_condition_A	pel_count_condition_A	gene_count_condition_B	pel_count_condition_B
42	3	1	0.78725	0.96975	-1.4353273518644656	-0.30712303652700323	-2.6516777170225385	-1.0490454055305052
42	3	2	0.4395	0.8145	-1.4353273518644656	-0.30712303652700323	-1.958787037120413	-0.20170050491660274
43	2	1	0.957	0.95025	1.5123635790880265	-0.11980566080043265	1.1763985252547038	-0.5461371368549124
43	3	1	1	0.00225	0.5060899638543014	0.7629040543504656	1.1763985252547038	-0.5461371368549124
43	3	2	0.9995	0	0.5060899638543014	0.7629040543504656	1.5123635790880265	-0.11980566080043265
44	2	1	0.942	0.522	5.449558042473695	-1.0636483493562183	5.4422793376275145	-1.3459068502332807
44	3	1	0.9645	0.66575	5.500714236233323	-1.0362339938134408	5.4422793376275145	-1.3459068502332807
44	3	2	0.56125	0.6445	5.500714236233323	-1.0362339938134408	5.449558042473695	-1.0636483493562183
45	2	1	0.99825	0.94025	5.059495117018322	0.22806154390353756	4.808002226123099	-0.30245955281435943
45	3	1	1	0	4.122864856902163	0.9846273034917665	4.808002226123099	-0.30245955281435943
45	3	2	1	0	4.122864856902163	0.9846273034917665	5.059495117018322	0.22806154390353756
46	2	1	0.10575	1	1.9190977098287219	-0.6879596428478923	-0.7069607893727908	-0.2277188315061589
46	3	1	0.30875	1	1.3476809108816257	-0.427703681684387	-0.7069607893727908	-0.2277188315061589
46	3	2	0.8305	0.0025	1.3476809108816257	-0.427703681684387	1.9190977098287219	-0.6879596428478923
47	2	1	0.99975	0	3.482213766825038	0.3056930469977791	4.977859114133384	-0.43308846732492146
47	3	1	1	0	3.8563727206984133	0.5845575366521432	4.977859114133384	-0.43308846732492146
47	3	2	0.9225	0.98475	3.8563727206984133	0.5845575366521432	3.482213766825038	0.3056930469977791
48	2	1	0.33025	0.82525	-2.253899267503683	0.5098076572458663	-2.898048901558931	0.849515233400032
48	3	1	0.26925	0.605	-2.6837818758247507	0.30863787402119836	-2.898048901558931	0.849515233400032
48	3	2	0.406	0.26975	-2.6837818758247507	0.30863787402119836	-2.253899267503683	0.5098076572458663
49	2	1	0.99625	0	2.3880505951841213	0.38046467761395564	3.2711654033106647	-0.1842736027402525
49	3	1	0.92425	0.0215	2.9182970806878448	0.10737539181610936	3.2711654033106647	-0.1842736027402525
49	3	2	0.09525	0.99825	2.9182970806878448	0.10737539181610936	2.3880505951841213	0.38046467761395564
50	2	1	0.991	0	3.6960996006200197	-0.21650678947422974	4.3213060012253734	-0.6717095008502074
50	3	1	1	0	3.6658218921316053	0.23165492000230295	4.3213060012253734	-0.6717095008502074
50	3	2	0.99225	0.436	3.6658218921316053	0.23165492000230295	3.6960996006200197	-0.21650678947422974
51	2	1	0.42025	0	3.6906566016234947	-0.15037349826179827	4.3910490181482915	-0.11538756931176919
51	3	1	0.73675	0	3.8138663786970417	0.009349009189796384	4.3910490181482915	-0.11538756931176919
51	3	2	0.79625	0.76675	3.8138663786970417	0.009349009189796384	3.6906566016234947	-0.15037349826179827
52	2	1	0.28375	0.0745	5.28809883638638	0.37524606961402696	5.542924764598279	0.4795592118072418
52	3	1	0.86475	0.029	5.217191782655818	0.6925017688883661	5.542924764598279	0.4795592118072418
52	3	2	0.952	0.3425	5.217191782655818	0.6925017688883661	5.28809883638638	0.37524606961402696
53	2	1	0.99475	0	1.6681770376564327	0.7584181982470191	2.905980852269156	0.20151723244096909
53	3	1	0.97375	0	1.802586032598659	0.6300332544033258	2.905980852269156	0.20151723244096909
53	3	2	0.289	0.7375	1.802586032598659	0.6300332544033258	1.6681770376564327	0.7584181982470191
54	2	1	1	0	2.1590457750706413	-0.7644163628301002	4.545496238995172	-1.7692664820265454
54	3	1	0.982	0.0075	4.180684977032769	-1.3953064080213406	4.545496238995172	-1.7692664820265454
54	3	2	7.5e-4	1	4.180684977032769	-1.3953064080213406	2.1590457750706413	-0.7644163628301002
55	2	1	0.49175	0	4.357328219658633	0.37375164399301875	5.043532687078699	0.3752845422879929
55	3	1	0.9985	0	4.084259938251569	0.992704074153786	5.043532687078699	0.3752845422879929
55	3	2	1	0.058	4.084259938251569	0.992704074153786	4.357328219658633	0.37375164399301875
56	2	1	0.10125	0.17375	1.321596920844065	-0.03515809481061834	1.5219769646420938	0.27348218560647153
56	3	1	0.98525	0.001	0.8103619860414695	0.8630295105233126	1.5219769646420938	0.27348218560647153
56	3	2	0.999	0.0235	0.8103619860414695	0.8630295105233126	1.321596920844065	-0.03515809481061834
57	2	1	0.0125	0.79	2.5372250091149606	-0.9587317175210117	2.4040189516052006	-0.4844239571742267
57	3	1	0.73875	0.1285	2.205475692336965	-0.34487307072924656	2.4040189516052006	-0.4844239571742267
57	3	2	0.99825	0.02925	2.205475692336965	-0.34487307072924656	2.5372250091149606	-0.9587317175210117
58	2	1	0.124	1	2.46245708678447	0.04002440471001803	1.2932059451971996	0.30507331837010376
58	3	1	0.7875	0.99975	1.951994977338708	0.5023394135690469	1.2932059451971996	0.30507331837010376
58	3	2	0.9805	0.0035	1.951994977338708	0.5023394135690469	2.46245708678447	0.04002440471001803
59	2	1	1	0	4.159405849914487	0.7855825456733243	5.733160860566709	-0.13193884459581606
59	3	1	1	0	3.6671523413502687	1.5937008909089372	5.733160860566709	-0.13193884459581606
59	3	2	1	0.00375	3.6671523413502687	1.5937008909089372	4.159405849914487	0.7855825456733243
60	2	1	0.25675	0.90025	2.7104611186114638	-1.1579965162103019	2.4904954971163544	-1.0154472147221574
60	3	1	0.75075	0.48075	2.4798555195234027	-0.8629655627295997	2.4904954971163544	-1.0154472147221574
60	3	2	0.92275	0.08875	2.4798555195234027	-0.8629655627295997	2.7104611186114638	-1.1579965162103019
61	2	1	0.94925	0.3865	2.7125291446645994	0.48898853569286327	2.7682693050294844	0.14039029131497932
61	3	1	0.99325	0.03625	2.4215386118049733	0.6660114919984426	2.7682693050294844	0.14039029131497932
61	3	2	0.80125	0.06375	2.4215386118049733	0.6660114919984426	2.7125291446645994	0.48898853569286327
62	2	1	0.57975	0.76125	-0.5724576436392944	0.2103279605799927	-0.865547664563863	0.09653563388336724
62	3	1	0.82475	0.24625	-1.1718669107555622	0.612133925590362	-0.865547664563863	0.09653563388336724
62	3	2	0.75875	0.096	-1.1718669107555622	0.612133925590362	-0.5724576436392944	0.2103279605799927
63	2	1	0.80075	0.58275	2.7214655548734568	-0.3248522188236864	2.683846051469949	-0.4942335398792219
63	3	1	0.97075	0.0975	2.454795038591606	-0.1062304186538629	2.683846051469949	-0.4942335398792219
63	3	2	0.863	0.06825	2.454795038591606	-0.1062304186538629	2.7214655548734568	-0.3248522188236864
64	2	1	0.4515	0.0525	3.1211369190767675	-1.7451851825430085	3.366197637235314	-1.7240072061178333
64	3	1	0.1905	0.56975	3.3951340449140437	-1.8965225581502	3.366197637235314	-1.7240072061178333
64	3	2	0.22375	0.96425	3.3951340449140437	-1.8965225581502	3.1211369190767675	-1.7451851825430085
65	2	1	0	1	2.805341535682894	0.14680350961185445	1.125071300035985	1.265479224228141
65	3	1	0.03225	0.93775	1.485612330252199	0.7991368329561221	1.125071300035985	1.265479224228141
65	3	2	0.99725	0	1.485612330252199	0.7991368329561221	2.805341535682894	0.14680350961185445
66	2	1	0.07925	0	1.6387445429227983	-1.4754821170784305	2.3339758664751287	-1.1256098860875186
66	3	1	0.15125	0.295	2.2415773296061605	-1.3711892285581935	2.3339758664751287	-1.1256098860875186
66	3	2	0.675	1	2.2415773296061605	-1.3711892285581935	1.6387445429227983	-1.4754821170784305
67	2	1	0.156	0.59625	1.9941373217590885	-1.637582460082638	1.9518940209127082	-1.390004037584873
67	3	1	0.52525	0.021	1.6023796401005597	-1.371464183765197	1.9518940209127082	-1.390004037584873
67	3	2	0.854	0.01525	1.6023796401005597	-1.371464183765197	1.9941373217590885	-1.637582460082638
68	2	1	0.045	0	5.707754608100325	-1.2546171315268193	6.536263945009486	-0.9639026305371572
68	3	1	0.144	0.04675	6.291776157081397	-1.1514648567297066	6.536263945009486	-0.9639026305371572
68	3	2	0.7225	0.9995	6.291776157081397	-1.1514648567297066	5.707754608100325	-1.2546171315268193
69	2	1	0.0645	2.5e-4	4.634626179817927	-1.6117548474045842	5.203443886478604	-1.3360554049867046
69	3	1	0.3085	0.50725	5.205456043529594	-1.4245912554408942	5.203443886478604	-1.3360554049867046
69	3	2	0.85925	0.99975	5.205456043529594	-1.4245912554408942	4.634626179817927	-1.6117548474045842
70	2	1	0.5645	0.00175	2.8722847106922393	-0.7785807532946227	3.356807395702311	-0.8112617782893139
70	3	1	0.19175	0.00225	2.916693355569004	-0.9780522888870826	3.356807395702311	-0.8112617782893139
70	3	2	0.15775	0.6105	2.916693355569004	-0.9780522888870826	2.8722847106922393	-0.7785807532946227
71	2	1	0.9245	0.09775	3.411431356230628	-0.8221306460838037	3.6296316021684483	-1.1129627441922612
71	3	1	0.98875	0.075	3.385448854040744	-0.6289438136394576	3.6296316021684483	-1.1129627441922612
71	3	2	0.829	0.44825	3.385448854040744	-0.6289438136394576	3.411431356230628	-0.8221306460838037
72	2	1	0.248	0.7415	1.8015206231857461	-0.6975828435017524	1.6830587764790108	-0.5350016406680715
72	3	1	0.636	0.82725	1.8607813650732035	-0.4590153333806885	1.6830587764790108	-0.5350016406680715
72	3	2	0.85225	0.61975	1.8607813650732035	-0.4590153333806885	1.8015206231857461	-0.6975828435017524
73	2	1	0.98575	0.008	7.3554280194224155	-0.7612021974477046	7.748056293917063	-1.183198948388073
73	3	1	0.94075	0.08975	7.546238281804446	-0.9014227001339875	7.748056293917063	-1.183198948388073
73	3	2	0.21375	0.899	7.546238281804446	-0.9014227001339875	7.3554280194224155	-0.7612021974477046
74	2	1	1	0.01475	3.491376966723813	-0.44170980835977836	3.8345049197822574	-1.1538066603673423
74	3	1	0.86725	0.8805	4.012464296590476	-0.9512004619721666	3.8345049197822574	-1.1538066603673423
74	3	2	0.00275	1	4.012464296590476	-0.9512004619721666	3.491376966723813	-0.44170980835977836
75	2	1	0.662	0.0245	0.7858045925085881	1.1950328863072106	1.2507970468733802	1.0884964096813472
75	3	1	0.766	0.052	0.85558296894489	1.2749216346102181	1.2507970468733802	1.0884964096813472
75	3	2	0.615	0.6095	0.85558296894489	1.2749216346102181	0.7858045925085881	1.1950328863072106
76	2	1	0.99275	0.3235	3.511187612087915	0.0993605920484592	3.5928732680542064	-0.37256848918094587
76	3	1	1	0.05725	3.3213304960242485	0.5714972310214492	3.5928732680542064	-0.37256848918094587
76	3	2	0.989	0.14725	3.3213304960242485	0.5714972310214492	3.511187612087915	0.0993605920484592
77	2	1	0.9915	0	4.554428216599035	0.14415565473242603	5.411123499975748	-0.3119909583766358
77	3	1	0.9895	0.00675	5.001422334686367	0.12278230655481243	5.411123499975748	-0.3119909583766358
77	3	2	0.449	0.9965	5.001422334686367	0.12278230655481243	4.554428216599035	0.14415565473242603
78	2	1	0.9965	0	2.6076557396673614	0.2602938573706819	3.6422081755420748	-0.2885469694865952
78	3	1	0.9985	0	2.8543846366166283	0.24392284089257274	3.6422081755420748	-0.2885469694865952
78	3	2	0.46925	0.91625	2.8543846366166283	0.24392284089257274	2.6076557396673614	0.2602938573706819
79	2	1	1	0	4.4776696383040155	-1.4304025399418325	5.15859363835316	-2.3599567151380336
79	3	1	0.994	5e-4	4.6333229916849685	-1.9311995400805768	5.15859363835316	-2.3599567151380336
79	3	2	0.00125	0.852	4.6333229916849685	-1.9311995400805768	4.4776696383040155	-1.4304025399418325
80	2	1	0.64325	0.59475	-0.947664119326735	-0.8429325460905946	-1.0446213771064703	-1.0633647941253397
80	3	1	0.31	0.89575	-0.5693117661587639	-1.3837269148736855	-1.0446213771064703	-1.0633647941253397
80	3	2	0.18275	0.841	-0.5693117661587639	-1.3837269148736855	-0.947664119326735	-0.8429325460905946
81	2	1	0.99925	0	2.165753180541907	-1.0957236874297784	2.8470726959429546	-1.8026138621560528
81	3	1	0.2255	0.12025	2.6617613625329364	-1.9673850876317585	2.8470726959429546	-1.8026138621560528
81	3	2	0	0.9995	2.6617613625329364	-1.9673850876317585	2.165753180541907	-1.0957236874297784
82	2	1	0.37375	0.16575	2.5771383336076377	-0.3128488681016506	2.742467246170304	-0.2439896352482659
82	3	1	0.876	0.0475	2.444481332503246	-0.011741282308484507	2.742467246170304	-0.2439896352482659
82	3	2	0.91975	0.23775	2.444481332503246	-0.011741282308484507	2.5771383336076377	-0.3128488681016506
83	2	1	0.791	0.9235	-1.7082183044475112	-0.4618319355309862	-2.5914580342514824	-1.2341470682548097
83	3	1	0.86975	0.97325	-1.3824199182394388	-0.23326147929785224	-2.5914580342514824	-1.2341470682548097
83	3	2	0.6315	0.7165	-1.3824199182394388	-0.23326147929785224	-1.7082183044475112	-0.4618319355309862
84	2	1	0.97975	0	2.5224969662832653	0.359416532602671	3.163386321189992	-0.06386259914986185
84	3	1	0.99925	0	2.5706752318003474	0.6053101762213609	3.163386321189992	-0.06386259914986185
84	3	2	0.87925	0.603	2.5706752318003474	0.6053101762213609	2.5224969662832653	0.359416532602671
85	2	1	0.11	0.9685	3.971048283975019	-1.4030369985059976	3.685386058273547	-1.1774072828658806
85	3	1	0.7685	0.7265	3.7843414800146764	-1.0394642719194516	3.685386058273547	-1.1774072828658806
85	3	2	0.97675	0.122	3.7843414800146764	-1.0394642719194516	3.971048283975019	-1.4030369985059976
86	2	1	0.54675	0.789	3.812922461262628	-0.08165093872483287	3.6729683480313415	-0.10163447402475964
86	3	1	0.9985	0.02275	3.319993077208985	0.4849957080610213	3.6729683480313415	-0.10163447402475964
86	3	2	0.99775	0.0025	3.319993077208985	0.4849957080610213	3.812922461262628	-0.08165093872483287
87	2	1	0.2795	0.92375	4.656002415390136	0.1269390191416071	4.416659002061188	0.23458137887066383
87	3	1	0.774	0.5945	4.455207488773935	0.3804461351460584	4.416659002061188	0.23458137887066383
87	3	2	0.90575	0.12225	4.455207488773935	0.3804461351460584	4.656002415390136	0.1269390191416071
88	2	1	0.9835	0.0205	1.991182674059882	1.0018092365305802	2.397008160928219	0.5532507946580876
88	3	1	0.9115	0.00375	1.865833402298843	0.8365033116010231	2.397008160928219	0.5532507946580876
88	3	2	0.2295	0.2605	1.865833402298843	0.8365033116010231	1.991182674059882	1.0018092365305802
89	2	1	0.00225	1	2.9986602851550845	-1.7831720937328628	2.0471320070319674	-1.1703415320396369
89	3	1	0.323	0.99725	2.5169196188154643	-1.2660230978839908	2.0471320070319674	-1.1703415320396369
89	3	2	0.994	2.5e-4	2.5169196188154643	-1.2660230978839908	2.9986602851550845	-1.7831720937328628
90	2	1	0.3045	0.0065	-1.0334173815390806	-0.5389383334310232	-0.183209633297722	-0.285986716073406
90	3	1	0.9295	0.00325	-1.3148592826207954	0.4733425623604288	-0.183209633297722	-0.285986716073406
90	3	2	0.96	0.2755	-1.3148592826207954	0.4733425623604288	-1.0334173815390806	-0.5389383334310232
