gene_name	condition	variable	median
1	1	sup_latent	7.747528316327918
1	1	pel_latent	2.7609051875282136
1	2	sup_latent	1.5169894064056422
1	2	pel_latent	0.3047434607288283
1	3	sup_latent	14.235611041292326
1	3	pel_latent	3.1763208468052504
1	4	sup_latent	8274.818816364603
1	4	pel_latent	1934.43464388231
1	5	sup_latent	48062.731791908685
1	5	pel_latent	12598.256999512367
1	6	sup_latent	46323.12371877828
1	6	pel_latent	14756.579654345876
1	7	sup_latent	2006.7096102049918
1	7	pel_latent	633.6171885823803
1	8	sup_latent	2451.8758070293384
1	8	pel_latent	729.6119538640419
1	9	sup_latent	210.2795769711479
1	9	pel_latent	69.76872710695196
1	10	sup_latent	1163.192714130142
1	10	pel_latent	371.22496694377503
1	11	sup_latent	4.5764096513989125
1	11	pel_latent	1.7835630966820568
1	12	sup_latent	2738.7670624599396
1	12	pel_latent	512.7244983591379
1	13	sup_latent	0.7168774842669567
1	13	pel_latent	0.9971283681997187
1	14	sup_latent	6468.049151458505
1	14	pel_latent	1006.0308331665562
1	15	sup_latent	737.902302005109
1	15	pel_latent	193.56972000648653
1	16	sup_latent	121.48237533783796
1	16	pel_latent	35.743091161867966
1	17	sup_latent	1179.576901320414
1	17	pel_latent	303.1383033345945
1	18	sup_latent	5560.11423551341
1	18	pel_latent	385.5772475684838
1	19	sup_latent	397.4843388919032
1	19	pel_latent	51.998902135736
1	20	sup_latent	25.258529654441524
1	20	pel_latent	8.149937280980204
1	21	sup_latent	28.25217118893916
1	21	pel_latent	7.7348683553821544
1	22	sup_latent	2.9557722326082567
1	22	pel_latent	1.1977968101089291
1	23	sup_latent	5670.714329838978
1	23	pel_latent	780.2384980393422
1	24	sup_latent	90.00657841079743
1	24	pel_latent	14.297559107002257
1	25	sup_latent	3780.4221113593644
1	25	pel_latent	517.0376397242369
1	26	sup_latent	660.1412320501
1	26	pel_latent	123.6949735143971
1	27	sup_latent	7613.946748198139
1	27	pel_latent	1185.6527287697563
1	28	sup_latent	307.1471091991174
1	28	pel_latent	49.069986610051586
1	29	sup_latent	1028.5618103215438
1	29	pel_latent	201.08251566874605
1	30	sup_latent	452.2505586104779
1	30	pel_latent	148.5415832645287
1	31	sup_latent	6908.0167341562665
1	31	pel_latent	543.192636751588
1	32	sup_latent	0.19872021866665301
1	32	pel_latent	0.04363396861575288
1	33	sup_latent	5729.495185082871
1	33	pel_latent	642.3735976089965
1	34	sup_latent	366.813544599764
1	34	pel_latent	35.74050972952635
1	35	sup_latent	210.83235346706397
1	35	pel_latent	7.21574640274021
1	36	sup_latent	399.7264814172685
1	36	pel_latent	53.065606371952825
1	37	sup_latent	196.9925746879324
1	37	pel_latent	29.793058368981352
1	38	sup_latent	387.5603709615637
1	38	pel_latent	65.78295885788432
1	39	sup_latent	1453.6229830888083
1	39	pel_latent	148.8257590900852
1	40	sup_latent	455.79730229913116
1	40	pel_latent	36.322995335238105
1	41	sup_latent	686.1968026970912
1	41	pel_latent	61.83501159662122
1	42	sup_latent	698.687523827809
1	42	pel_latent	55.23819167018216
1	43	sup_latent	0.8561514692710497
1	43	pel_latent	0.24290070317354145
1	44	sup_latent	51.659516654633734
1	44	pel_latent	6.598700018511551
1	45	sup_latent	2495.982922452735
1	45	pel_latent	209.43450514345923
1	46	sup_latent	1499.0211116257992
1	46	pel_latent	282.53220291412526
1	47	sup_latent	6.74928190301771
1	47	pel_latent	1.5382574839160414
1	48	sup_latent	2378.827811487129
1	48	pel_latent	365.7493609541008
1	49	sup_latent	0.3052990927314304
1	49	pel_latent	0.3071597043576173
1	50	sup_latent	442.02005676836393
1	50	pel_latent	70.56561522670154
1	51	sup_latent	861.9610777586006
1	51	pel_latent	126.34798478608008
1	52	sup_latent	1340.715277398632
1	52	pel_latent	185.2670403517002
1	53	sup_latent	4703.911846684048
1	53	pel_latent	1001.6685266165422
1	54	sup_latent	158.15011528066253
1	54	pel_latent	61.58915296968269
1	55	sup_latent	1472.1644055119784
1	55	pel_latent	65.39932173492619
1	56	sup_latent	2306.086494615434
1	56	pel_latent	555.4682244074277
1	57	sup_latent	82.08051499750687
1	57	pel_latent	15.1727615393762
1	58	sup_latent	167.97099346721654
1	58	pel_latent	17.484739651020348
1	59	sup_latent	55.88464698155178
