gene_name	baseMean	log2FoldChange	padj	condition
1	71.21064123402512	0.6208693456231041	0.012052641397248284	specific
2	46.981536105698076	1.1474389292542544	2.2196951999284252e-4	specific
3	105.12627646104845	0.42553100150957723	0.05136929179912498	specific
4	26.9817254902408	-1.4439161433536578	2.3219772161185455e-5	specific
5	10.774524249720754	1.9566370112280993	0.005908319551512013	specific
6	3353.806971131483	-1.2108416419348065	8.201700621128719e-16	specific
7	44.075640484300905	-0.08091636604014316	0.7950746871427633	specific
8	35.60259309459152	2.4046132823380697	3.484996484093461e-8	specific
9	23000.71475536821	-3.0350417322718535	4.646073857272182e-171	specific
10	4862.817519733067	-0.5800954247573807	5.1280381354873065e-5	specific
11	2987.5894666846048	-0.010138214452750236	0.9422078284378912	specific
12	10.316426630814943	2.337109358092397	0.0028806650212369147	specific
13	105.79296887667485	2.5323344882085035	5.797169909647079e-20	specific
14	8.277096915596163	-0.49426998077215173	0.42986972616991614	specific
15	4961.355608201323	-0.33427520791924636	0.0038279538933519517	specific
16	17.064436341605607	-0.4994277724923347	0.25740135713988077	specific
17	449.65681016154747	2.4364097021618267	1.087725003177758e-54	specific
18	28.24137156019529	2.6510411119127273	1.6871365814392068e-7	specific
19	240.65384791708036	5.232512905524044	2.4025572437761445e-43	specific
20	98.29727812682917	-1.115086335984312	8.833728735980364e-9	specific
21	1324.3854582030667	-1.5293430273033828	1.3477605644872881e-32	specific
22	218.32210199844826	-1.2286830003379867	3.8587718466149975e-13	specific
23	8.867637024019498	1.5081937790370081	0.03567311038643514	specific
24	105.24359789484976	-1.4747336522104204	4.316921262903343e-14	specific
25	27.729302299984806	1.4560580972473416	4.388665191383883e-4	specific
26	40.216585272931184	0.6459296000191853	0.03974086775443252	specific
27	452.0857364266201	0.7013228763286644	1.8886938533652595e-6	specific
28	7.2732328743284365	1.0855979585233404	0.14790901692777264	specific
29	3.275197695877095	-0.17526186013335324	0.8757309842966483	specific
30	89.37496376392302	-0.07502980377767199	0.7549764534327067	specific
31	2753.072537505132	2.546579712276411	1.5259373434622365e-63	specific
32	1.9181474559801504	0.12163249770922425	0.9422078284378912	specific
33	142.20620434615458	-1.8648168249122696	1.297304239778455e-26	specific
34	22.278114694870528	-0.3701950065231328	0.35482387910900604	specific
35	44.062753241215425	0.49776977625813396	0.1019006530898077	specific
36	1999.1347457471802	0.3683753210270562	0.0036390618231625337	specific
37	1164.7112299650153	-1.5038817036112175	4.774184191599779e-26	specific
38	1519.5250153696634	0.15534171236623567	0.20154324921072833	specific
39	210.6236978557834	4.084523536987243	8.372865536429083e-45	specific
40	956.17605215368485	-1.0351013100083353	1.791520821432103e-15	specific
41	187.7658314284049	-0.23985197128029362	0.18234929657168805	specific
42	861.7107008957928	0.20979927599121562	0.10663374407868524	specific
43	822.3476523052116	1.4703793739037156	2.612506069093479e-31	specific
44	360.0146045444096	-0.49997476957806536	0.0010165672007546585	specific
45	1389.8044464476823	0.09607115423754334	0.4514585739356356	specific
46	43.06306881416957	4.236747326464584	2.905190848711831e-11	specific
47	645.4285287584787	-1.8606200156828605	4.0079573693486115e-43	specific
48	10913.927959018827	-3.565815043094944	8.542707902206721e-212	specific
49	1282.5966678007603	-0.699996927474457	5.09695665044743e-8	specific
50	2257.235152380533	2.237573668755473	5.29611266694204e-66	specific
51	2049.1199169042375	-1.0883699705502052	1.4688232383958913e-22	specific
