gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	143.79678321638684	1.3037738148648736	1.1700760749502768	1.1142641429706	0.26516588496929866	0.5683865393016738
2	737.9674800373141	-1.7510887898159453	0.9980120755335546	-1.7545767558772098	0.07933173023260874	0.3134641580244867
3	88.95019566647616	-0.6032280955874633	1.1630854619911122	-0.5186446871709526	0.604008540500484	0.818414913763771
4	4.526195721594169	0.2359491848294878	1.9700173006288415	0.11977010798543311	0.9046652618248467	0.974000920577846
5	4.871079087907707	1.8099612764224173	1.746838141342856	1.0361356519448541	0.3001388616666834	0.6105401701395758
6	624.7394061472769	-0.1432727401156445	1.121334367375654	-0.12776986444369562	0.8983310992458226	0.9707240816026287
7	294.97254272901915	2.1976248735212365	1.251260975397046	1.756328149548413	0.0790323934238706	0.3134641580244867
8	1609.1761094139156	-0.23530177919121448	1.1335319611902535	-0.2075828359917953	0.8355547073326822	0.9407963307753483
9	484.9970264258754	-0.42169505327315276	1.2836817535402503	-0.3285043602981542	0.7425303480140255	0.880332434375392
10	397.76902282342564	1.6131969798008943	1.069254125464395	1.5087124205391826	0.13137229005474343	0.4206748272815861
11	103.85706391454539	-1.9363159291603835	1.0622011817040227	-1.822927673695555	0.06831434591381504	0.28384129640247097
12	4.621325727244808	0.8607134426644207	1.7255157211491228	0.4988151844198909	0.6179095893867692	0.821096075986923
13	9.945849826269578	-2.2845264592624885	1.5662821230229391	-1.4585663883166406	0.14468449033634	0.42259331335861683
14	14.385671069741713	0.6254542624090909	1.459856694705776	0.42843538319707936	0.6683341684968902	0.8535003450501412
15	74.24655333993002	-0.45116232068120943	1.1547008614115264	-0.3907179216353063	0.6960057502786396	0.8601926949213077
16	19946.475623054816	-2.4586540382288775	0.828710343855909	-2.9668436703577252	0.0030087389716231356	0.06511472010337606
17	342.17951566866583	-0.15792125312583047	1.3802875690367495	-0.1144118491453471	0.9089113214161707	0.9750139629737105
18	843.5063446315604	2.414474187934965	1.1008804837991495	2.1932209930750983	0.02829146073084042	0.21963107672626117
19	175.97836045081007	-1.8526862255655125	1.4336647869569663	-1.292272951404451	0.19626263568389554	0.49065658920973887
20	17137.767287527487	-0.9417942127263326	1.041316821134223	-0.9044261973032488	0.3657694521488192	0.6716324002332832
21	6.474040356225148	0.10913391914150529	1.232130541465642	0.08857334143481946	0.9294209952466393	0.9768504253019035
22	218.64444649651327	3.296174513209147	1.1183758263983101	2.9472869811790914	NA	NA
23	6638.896934224425	-0.6288900200216432	1.082020467344375	-0.5812182292310429	0.5610933832381535	0.7996258360157259
24	12.633072254435321	0.35086075301941194	1.4031437159868285	0.25005332598639207	0.8025461099915894	0.9140969206467909
25	7872.017054413965	1.8340896319745759	1.0893661847984466	1.6836300387953727	0.092253189679016	0.3401836369413715
26	587.1177241583307	0.6937876005360823	1.278197932942221	0.5427857318929368	0.5872773381629597	0.818414913763771
27	23.84214506226104	2.22060469089441	1.1900370696639995	1.8659962344882128	0.06204189232337876	0.28384129640247097
28	68.07656126878172	0.04176631650803952	1.3359084384828497	0.031264355628647905	0.9750587165908292	0.9950230967759288
29	156.6051302831617	1.8948115843330524	1.1839817303122964	1.6003723164151038	0.10951601270235	0.3867643962059543
30	63.36150204520878	0.0966433097546144	1.1041589242607046	0.0875266301174194	0.9302529188812808	0.9768504253019035
31	792.6365555848444	-2.4104373249519178	1.2250044646513678	-1.9676967672423302	0.04910293802047915	0.2633703039280245
32	195.304245233165	-1.1598309752713076	1.2756308428860452	-0.9092214896962301	0.36323322292417703	0.6716324002332832
33	10.092074517772238	0.4413332315009067	1.5064290154497497	0.2929664969106726	0.7695477602531913	0.8902611344105547
34	7.370341755561003	-2.3548490113869818	1.4736685029968188	-1.5979502897688416	0.11005404065594232	0.3867643962059543
35	83.3097722251015	-1.178287424516195	1.378563955203639	-0.8547209000123178	0.39270567733126366	0.6895724691233499
36	723.1090351127112	-2.4944999640346457	0.8825079019141534	-2.8266035449927336	0.004704453178288202	0.07710076042194554
37	1979.778089378906	0.3046356973731632	0.8133107751786375	0.37456247558782474	0.7079858847020988	0.8601926949213077
38	632.2114704395063	-2.8074113831704177	0.9377019329526065	-2.9939272646378456	0.0027541159188165247	0.06511472010337606
39	133.94545271150164	-1.8812120878337522	1.3902547253578539	-1.3531420203225888	0.1760102636847942	0.46703286150086476
40	108.10130418283562	1.3670228537356617	1.1486751993444018	1.1900865053201117	0.23401239365888427	0.5397489723151037
41	390.6987001587206	-1.254177973455127	1.256013571104284	-0.998538552694504	0.3180182795973484	0.6257559067777859
42	484.69028339839826	-0.048793578740256895	1.164058446623906	-0.04191677735922271	0.96656504175373	0.9950230967759288
43	75.64847811814569	1.0564059566645314	1.280244794243043	0.8251593456305687	0.40928113085101286	0.7060697871406362
44	549.5468141670666	-2.384653931181888	0.9791977387352885	-2.4353139686186958	0.014878873183423022	0.15019368899879332
45	92.32256234722229	-0.5753523385881746	1.0282088112028156	-0.5595676017550539	0.575774408600894	0.8153531822389664
46	2864.1171896001106	1.084112111967919	1.1097779507164918	0.9768729963214691	0.3286320319955375	0.6420294664813481
47	7298.5816402252985	0.9964340746353493	1.1035306605719357	0.9029509647868953	0.36655192012731724	0.6716324002332832
48	0.9675729894696337	1.0151991530785311	3.1346904204332504	0.3238594619937681	0.7460444359113492	0.880332434375392
49	105.97928694781987	2.43485043707159	1.3205807652060007	1.8437724531689448	0.06521630887457104	0.28384129640247097
50	566.631039658323	-0.2364942623383264	1.2858318353237757	-0.18392316618819488	0.8540737308317893	0.9471870323134506
