gene_name	sup_latent	pel_latent	pvalue	condition
1	2.6315412857739187	0.6207950219439617	0	specific
2	2.3334959897800367	-0.030734762974052435	0	specific
3	2.95394695191495	1.1040935138922725	0	specific
4	0.8437755586608535	0.31167246305869395	0.002	specific
5	0.9535488409758219	-1.914369139349953	0	specific
6	5.745299139048553	5.035042625854213	0	specific
7	1.9287580765684655	0.4402438827303514	0	specific
8	2.183009914904221	-1.0201421454112436	0	specific
9	6.664181295453497	7.230545574943452	1	specific
10	6.394427095748546	5.251345343615888	0	specific
11	6.1272523894485165	4.589068610487652	0	specific
12	1.075079533328616	-2.065072775223002	0	specific
13	3.375743612246958	0.0366968608180789	0	specific
14	0.22478685838125528	-0.9939911815628601	0	specific
15	6.52089397778307	5.20585472483457	0	specific
16	0.7790566652778221	-0.43552291887959743	0	specific
17	4.763614415301076	1.533916855517286	0	specific
18	2.053743850590217	-1.3188926234100236	0	specific
19	4.310686939447534	-0.8655687397671543	0	specific
20	2.267861213432382	1.482329804114444	0	specific
21	4.645750889888325	4.158040439246014	0	specific
22	3.05521378654253	2.3267750580843893	0	specific
23	0.8493119036042001	-1.7013311512430234	0	specific
24	2.1515099230347987	1.6167535086342553	0	specific
25	1.8150487537055309	-0.7236285951242221	0	specific
26	2.0679541003398247	0.057128715626104914	0	specific
27	4.475838621066421	2.434322945775313	0	specific
28	0.4600996310804697	-1.768808790820077	0	specific
29	-0.6277218849924648	-2.037770826864146	0	specific
30	2.5843762740969582	1.0682582209908311	0	specific
31	6.591057750425695	3.281528561466209	0	specific
32	-1.1021251443723439	-2.7078844733593685	0	specific
33	2.2544775315342473	1.9912983384535874	0.0105	specific
34	1.0370829602114502	-0.2608104046071579	0	specific
35	2.1313281731689644	0.22054916454609924	0	specific
36	5.881745720170489	4.054698771693738	0	specific
37	4.558968253933291	4.046364012829487	0	specific
38	5.537723111680897	3.8658555959259755	0	specific
39	4.095254226229811	-0.25672697983268977	0	specific
40	4.565511547034086	3.7381115777241405	0	specific
41	3.2578823250252364	1.8778456067884146	0	specific
42	4.964042623015604	3.2707195315394735	0	specific
43	5.252492588319953	2.665723134669407	0	specific
44	3.828582403708743	2.6327186129945295	0	specific
45	5.403581170157581	3.787908959412542	0	specific
46	2.4955220726117124	-1.929524426796294	0	specific
47	3.779409922071226	3.520789501307388	0.0035	specific
48	5.575981414102552	6.490513196479197	1	specific
49	5.052298521116857	3.967555212917807	0	specific
50	6.358913191026769	3.259028514738199	0	specific
51	5.315352159108633	4.523496933624857	0	specific
52	2.2708549098122757	1.2442819049877754	0	specific
53	2.1977421004422437	1.3212032751968124	0	specific
54	4.449501545311322	4.016087867524302	0	specific
55	3.8358303853719677	2.7912819057031646	0	specific
56	6.1903999486845045	2.2050913386871196	0	specific
57	4.0895688208906265	2.23199097048756	0	specific
58	-1.449745530107967	-2.633710221705805	0.0125	specific
59	6.034943711644981	5.959198329809425	0.2055	specific
60	6.892091286192546	4.443409192753258	0	specific
61	1.8105204816872162	0.5192732236606941	0	specific
62	3.0608778978275817	2.165939799501918	0	specific
63	3.8602696387803666	3.64431864788619	0.022	specific
64	4.829635592082948	2.85205603367488	0	specific
65	1.246156843362852	-0.40020765809688386	0	specific
66	2.338991101801665	0.5379516808632503	0	specific
67	0.9317207880378402	-0.023955599639926016	0	specific
68	2.178174064690891	0.7267419451787871	0	specific
69	1.3406949094302667	-0.740236968949641	0	specific
70	0.5916218827221239	-0.016781723202426643	0.003	specific
71	1.3860429097628704	-2.0541390518167515	0	specific
72	2.910571603065906	2.7258139216769814	0.0445	specific
73	4.072110928538304	2.71498408458397	0	specific
74	0.05477295919080024	-0.3901171027504944	0.044	specific
75	7.770530521884619	7.344480241677417	0	specific
76	1.413857942149841	-0.7053748425565455	0	specific
77	4.64303887213355	4.413262321436213	0.0065	specific
78	-0.016681061713435363	-0.07639439643918661	0.4025	specific
79	3.1352924578594497	-0.2576952225391996	0	specific
80	4.891668997738973	2.17062853507131	0	specific
81	2.837681760920254	2.0714651507428226	0	specific
82	1.5644654477090856	-3.2614612997576584	0	specific
83	1.4859320609302085	0.2630587595712419	0	specific
84	-0.18607929826281916	-0.22846842654482036	0.4395	specific
85	5.038667626452368	2.8173761241829376	0	specific
86	4.562569769851786	2.5945941837515196	0	specific
87	2.005083627836807	-0.8852137715991448	0	specific
88	4.557390694731513	2.137390275504178	0	specific
89	4.88461763952848	3.5746843190735564	0	specific
90	5.725445488825406	2.7737749484288425	0	specific
91	1.5807944168247032	-0.6277047179014762	0	specific
92	4.616067698050697	2.913985732098485	0	specific
93	1.5885481039386975	0.6628455611964925	0	specific
94	6.757540082843541	5.982808951432111	0	specific
95	4.989334760223295	4.344292699422395	0	specific
96	7.261814369060527	2.651828141357841	0	specific
97	2.165872864374603	-0.7117955167204759	0	specific
98	9.374513116648977	10.135859298295184	1	specific
99	5.191118410056193	3.953474198261503	0	specific
100	3.001652850226497	0.05346372755645476	0	specific
101	1.8888337073126127	1.2196925280337	0	specific
102	2.269127394671324	0.5090486903303468	0	specific
103	1.0562617652782431	-1.6092558521535258	0	specific
104	4.359233862014192	1.1045039919400046	0	specific
105	0.3714484277666851	-1.8169587832540475	0	specific
106	0.19462956434416467	-0.2879882355684188	0.023	specific
107	4.963175094485571	3.7454528516311987	0	specific
108	2.3175143426647353	-2.5239664899001824	0	specific
109	-0.7406545617080108	-2.2233617084369888	5e-4	specific
110	6.448597889263111	4.7046693132941275	0	specific
111	3.358499257334875	0.8258497335121351	0	specific
112	2.290171064302262	3.569178035525736	1	specific
113	5.983792704934956	4.556074628824387	0	specific
114	2.681727303280797	1.3636927422357439	0	specific
115	1.840010379759588	-1.1172699912092747	0	specific
116	1.9294485460866726	-1.1278047388429762	0	specific
117	3.53603828137617	1.9071313755722168	0	specific
118	2.386318445667003	-2.8343849055178234	0	specific
119	6.8577202081288045	4.572513950506712	0	specific
120	4.971947236787525	3.5916008003600695	0	specific
121	0.20170924355472175	0.4542812351629864	0.889	specific
122	2.416650142467711	0.25822175743584264	0	specific
123	3.0380113454398883	-0.7422390151812612	0	specific
124	7.627417008689243	7.185497009252503	0	specific
125	5.14697180481773	3.7445041673520265	0	specific
