gene_name	sup_latent	pel_latent	ratio	p.value
1	170.26903103431286	179.3070107075484	0.949594945353383	0.36725
2	570.2295574186821	469.63371384618756	1.2142006431962449	0.895125
3	103.07845782199931	110.43673004860241	0.9333711508538438	0.337875
4	5.245863350852202	5.301993654756632	0.9894133589062157	0.488625
5	4.479125882927461	3.475335015603752	1.2888328356307617	0.74925
6	662.3617538709099	652.4969487348278	1.0151185460027201	0.539
7	224.47409872624672	185.79318939540934	1.2081933651965884	0.8795
8	1203.0838575621624	1082.6561791626177	1.111233539065643	0.7485
9	554.7768788893093	486.46929542045916	1.1404149945574906	0.797875
10	244.39436870395272	218.96450908955978	1.1161369014555311	0.75725
11	76.67062509672496	60.96825097761173	1.2575500177113386	0.91
12	0.8697589318732781	3.316550966694562	0.26224802230014355	6.25e-4
13	5.645263555994906	6.559877632607862	0.8605745216851928	0.294875
14	8.608253787485353	7.903984500713353	1.0891030703195885	0.624
15	44.215436896847976	43.721996516099814	1.011285861124079	0.522875
16	13100.516152322702	12584.38333890367	1.0410137548673877	0.60725
17	191.90258720309086	186.94712299745925	1.0265073039166213	0.5615
18	889.546660866594	918.5074640002133	0.9684697138905204	0.423625
19	175.91473248208706	187.80309044876026	0.9366977511484733	0.34075
20	11289.506310380064	11343.361555290685	0.995252267623833	0.488125
21	6.160301886123346	7.109453665025858	0.8664944138293277	0.300125
22	136.8719565206544	146.15537492131693	0.9364825384926125	0.34225
23	3341.529271285972	3049.7840609222067	1.0956609400980166	0.732375
24	13.745403998709534	11.956548841024086	1.1496130013326014	0.732625
25	8236.091393685354	7820.224712075273	1.0531783544490656	0.63575
26	426.8130130368429	368.2408488404843	1.1590593883888505	0.823375
27	18.28447292366956	23.939733920171477	0.7637709334882445	0.091
28	46.39903104752108	43.39693435241707	1.0691776214127162	0.640125
29	130.18576727043276	137.61822685583223	0.9459921860991156	0.36325
30	37.42949010892872	35.84351234124735	1.0442472755622303	0.590125
31	619.68328398846	585.2439450951649	1.0588461259307773	0.645375
32	123.27226944297692	127.358245681332	0.967917458217988	0.424125
33	9.143229239884537	9.178544215872222	0.9961524425707275	0.50075
34	5.643391290993899	2.9538705154616434	1.9105073365451584	0.94925
35	64.95940727595746	57.553120174657884	1.128686109090585	0.76125
36	739.1098112719294	811.2203307792388	0.9111085894037668	0.26975
37	994.8280673113295	1014.1988476137658	0.9809004118393426	0.4515
38	508.28927226856257	523.8024759517399	0.9703834853873302	0.4225
39	95.53634050835612	82.42554735503015	1.1590622516202904	0.8115
40	69.8242878877306	59.95958782312126	1.1645224796025928	0.8185
41	212.47099796239564	183.39539041161748	1.1585405581106487	0.8185
42	412.588019163398	351.15184286326235	1.1749561551469878	0.85075
43	117.4199306870022	112.8385228660728	1.0406014515660318	0.595125
44	557.4468566533967	544.1112234883037	1.0245090205631084	0.569
45	115.74209180082946	96.12120937285181	1.2041264623697017	0.871125
46	2743.559877805208	2785.146988962403	0.9850682526552438	0.465
47	4134.5748546771465	3279.1899878247063	1.2608524879706255	0.930125
48	0.42672196210082747	1.16447995477747	0.3664485252409289	0.104375
49	52.39319536280945	56.92485286384145	0.9203922843354331	0.317
50	247.1247405056917	217.30749143513128	1.1372122464515275	0.7805
51	240.5429167086736	208.72709507745947	1.1524278466071074	0.814125
52	2194.549600672557	2069.7726961983353	1.0602853176599567	0.64575
53	52.79049143549808	73.32904430044088	0.7199124431406326	0.03075
54	6602.714815672844	6428.935070654204	1.027030875737396	0.563875
55	1536.905961562871	1629.361075470644	0.9432568291340413	0.345875
56	105.16723306015216	108.57179919203224	0.9686422610915898	0.418375
57	911.2325814346717	941.8402510573461	0.9675022705938581	0.4165
58	341.25345082958006	345.3694703385644	0.9880822717047069	0.46025
59	14723.489346304395	13508.559793211956	1.089937755888895	0.7155
60	1885.8331389659463	1947.0720676445517	0.9685481961883987	0.418
61	420.59622313843647	524.7197560030431	0.8015635362050237	0.081625
62	13.68104511832383	13.401937880520412	1.0208258865465343	0.545625
63	18.50839823329862	23.059126429876777	0.8026495838679317	0.14825
64	321.02118289653924	283.77306154972564	1.131260244166223	0.78625
65	53.810779808584385	39.377312731171	1.3665427139721467	0.95625
66	56.491450068555636	58.76605042786666	0.9612939725785551	0.41125
67	84.52787153966943	105.18750547788461	0.8035923197878401	0.093375
68	321.4114195702016	350.6181411090115	0.9166993429192554	0.286
69	108.39385444829296	127.85288413916729	0.8478014021983793	0.1495
70	245.7779248196651	258.6492661140709	0.950236312332202	0.374125
71	54.979244328509424	65.06301218383265	0.8450153548558128	0.164
72	6.954816693532321	7.116429813622952	0.9772901406571514	0.463375
73	4849.282218614639	4938.728669102196	0.9818887700700881	0.44875
74	39.58106029625167	41.261500619861536	0.9592734074533157	0.40225
75	793.355578636299	749.3089664860765	1.0587829775436712	0.637875
76	3223.4221554108417	3707.4765178240777	0.8694383200848085	0.174625
77	1008.4076078834278	945.796435110427	1.066199417177641	0.66025
78	62.41276837628122	66.20029760503814	0.9427868247458049	0.362125
79	3956.473854687649	3884.1029869046206	1.0186325820986284	0.55
80	64.02746419343309	55.6629186508175	1.1502714148909032	0.795625
81	89.6515755873302	83.6066234587586	1.0723023114496837	0.666875
82	1069.3445613567583	1027.5398495341965	1.0406842730639718	0.6025
83	99.05496214988203	100.62523784163635	0.9843948126192197	0.46675
84	953.8966809104063	973.8223116630691	0.9795387407805083	0.444375
85	67.3148106322983	56.80472166135247	1.18502139722826	0.839
86	396.2982495307655	347.87622166405197	1.1391932671772984	0.795375
87	776.391223089	751.3542183061143	1.0333225051152708	0.577125
