gene_name	baseMean	log2FoldChange	padj
ENSG00000000419.12	1002.5539435247158	-0.3580526642704661	0.2106679611519106
ENSG00000000457.13	1564.883043396848	0.43930758032625067	0.07691095172477147
ENSG00000000460.16	3549.08427472687	1.1550537262358593	1.5674882628098531e-7
ENSG00000000938.12	40931.00897645422	0.9593624338455354	4.225412460180384e-5
ENSG00000001036.13	1119.7873832759442	-1.1039277936356953	5.22096060768062e-6
ENSG00000001084.12	986.0719856833919	0.17319771078656299	0.5401956795251548
ENSG00000001167.14	1654.6517402297218	-0.8971536772300371	1.2877516566884106e-4
ENSG00000001460.17	67.21187465456282	-0.9219879729951107	0.06317430319074334
ENSG00000001461.16	940.31711634572	-1.3468496949340631	3.1825364982832716e-8
ENSG00000001497.16	7822.100845743055	0.021541894079353526	0.9371804799615544
ENSG00000001561.6	678.7161947638476	-0.32578710864624816	0.26585587095412616
ENSG00000001626.15	196.12630970737652	0.04109120921706233	0.919404999468522
ENSG00000001629.9	8595.613734164712	0.5634926944397245	0.018104309703005514
ENSG00000001630.16	1768.0893445210525	-2.302619489021401	5.2739593834482494e-14
ENSG00000001631.15	2166.213500135469	0.2945839799353009	0.2352291156613304
ENSG00000002016.17	1671.2410408016729	1.2223297507071182	3.97994890248583e-6
ENSG00000002330.13	1718.2114905616413	-1.983237288054503	7.419635576487301e-13
ENSG00000002549.12	9807.609652310712	-1.2402533854521287	1.0349075885931162e-8
ENSG00000002586.19	2765.693733546361	-1.3221710051205764	1.3621031599138531e-8
ENSG00000002587.9	271.6188100517433	-0.6384449524872754	0.06654707719608659
ENSG00000002746.14	87.29349704136216	1.652347063866283	2.8455776872301255e-4
ENSG00000002822.15	2448.823352359994	-0.8122228567709922	0.0021378920587559747
ENSG00000002834.17	9462.02222986716	-1.4916583714639162	5.477049907917944e-12
ENSG00000002919.14	8361.951592278549	-1.371290120601483	2.1994700368827738e-8
ENSG00000003056.7	8648.029498972639	-1.0141004651420047	2.6813517234264973e-5
ENSG00000003096.14	2541.688421542951	-1.3357978795088108	2.851220423899054e-8
ENSG00000003147.18	844.3857449361341	-1.4943221177976196	2.6395495554609107e-8
ENSG00000003249.13	714.540483387814	-0.5287804099166534	0.08833428551289386
ENSG00000003393.14	1631.9098030996308	0.1511826194606933	0.5672379428139305
ENSG00000003400.14	1377.9434919220923	-0.9230358984905445	2.50743045260927e-4
ENSG00000003402.19	14296.889379451452	0.10326847779935186	0.6798364240223144
ENSG00000003509.15	2333.8019012748277	0.4590301387163482	0.05273802332303352
ENSG00000003756.16	45802.83228001512	2.18203947488766	7.756038596354173e-21
ENSG00000003989.17	9.701832002956866	-0.26404953474283316	0.8442909634570179
