gene_name	baseMean	log2FoldChange	padj	condition
Q0010	10.317894852333062	0.35674349263951033	0.7695429916211342	WT_42C
Q0017	0.6274888996658785	0.5952199627677843	0.9055283644271915	WT_42C
Q0032	8.073121449176227	0.3525984495617218	0.8014216975501737	WT_42C
Q0045	7566.204262111803	-1.101860173369392	0.0039231863310889275	WT_42C
Q0050	11493.577872611691	-0.9638998073895185	0.5820841309705584	WT_42C
Q0055	17274.05253915397	-1.1853407698873595	0.33464121051917656	WT_42C
Q0060	1334.3702990615886	-1.6106197743913002	0.3026511909838847	WT_42C
Q0065	2277.7969122217114	-1.8532412788321493	0.27145897416128756	WT_42C
Q0070	228.7041981235286	-1.6435585099502656	0.35379374919837847	WT_42C
Q0075	1365.6079874219215	-1.9855248602034994	0.17515483253447425	WT_42C
Q0080	4.696944718180726	0.022062377800495008	0.9900619646275854	WT_42C
Q0085	1757.5298504472948	-1.2383349253929248	0.4476551665823584	WT_42C
Q0092	2.658034876789185	1.536347998214038	0.4638732019113788	WT_42C
Q0105	5221.216098441776	0.13227294811235013	0.7279938382475134	WT_42C
Q0110	622.0374039039502	-2.051426861023381	0.21859515505952412	WT_42C
Q0115	100.37482958500645	-1.8768573969606988	3.4167572350930065e-4	WT_42C
Q0120	951.8895144963195	-1.072952995855365	0.42620261217038075	WT_42C
Q0130	2316.074924960242	-0.5134338971963094	0.7234692737679341	WT_42C
Q0140	197.86119456159673	-1.1116483480576653	0.5763013540866739	WT_42C
Q0142	21.40256583974351	-0.6342535625107291	0.5358695648128075	WT_42C
Q0143	20.23415733013061	-0.40453956765788196	0.7113084025660299	WT_42C
Q0144	3.309832048462561	0.2823854939226747	0.9029003777755266	WT_42C
Q0160	1838.3363729168689	-2.339413972047577	0.07548038160919386	WT_42C
Q0182	23.264579105437488	0.2744050890214338	0.7984179869637413	WT_42C
Q0250	3078.6500335730707	-1.2987848649577398	1.3784506967911558e-4	WT_42C
Q0255	429.82599441483194	-1.2090181886419573	0.3871931362783407	WT_42C
Q0275	4189.486983794696	0.28728219840025165	0.5624586676961513	WT_42C
Q0297	153.62661388918275	0.20470065905099818	0.6909936017784055	WT_42C
YAL001C	944.2326142957878	-1.8597670683984355	2.7221808916669687e-7	WT_42C
